"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","epidermis development","48/806","287/18842",0.167247386759582,3.9097707956874,10.5007092128877,3.78469246059606e-16,1.40147161815872e-12,1.40147161815872e-12,"KRT6B/CSTA/FA2H/KRT9/KRT79/KLK5/CFAP100/COL17A1/CERS3/GAL/SPRR1B/SPRR2E/KRT16/ALOX15B/KRT81/KRT31/KRT74/FLG2/PI3/IL17A/IL20/CALML5/KRT72/GJB5/SOX9/SPINK5/COL7A1/SPRR3/USH1C/SLC39A2/KRT6C/S100A7/CRABP2/BNC1/KLK7/AKR1C3/FOXI3/SPRR1A/KRT14/WNT16/KRT77/EREG/STRC/KRT5/DSC1/CASP14/TP63/REG3A",48
"GO:0003341","cilium movement","44/806","264/18842",0.166666666666667,3.89619520264682,10.0179692975479,7.5148319687459e-15,1.3913711390133e-11,1.3913711390133e-11,"TAC3/TMEM232/GAS2L2/SPAG8/DNAI1/CFAP100/CFAP161/TAC1/DNAH6/CFAP58/TEKT4/TTLL6/ROPN1L/CFAP65/CFAP73/TEKT1/CFAP47/LRRC46/PACRG/NEK10/TTC29/CFAP206/DNAAF6/IQCF1/RSPH1/RSPH14/DNAH12/DNAI2/CFAP53/FSIP2/CFAP52/CFAP70/CFAP46/DNAH10/DRC7/DNAI3/DNAH3/DNAAF1/HOATZ/CFAP43/CFAP77/DNAH9/HYDIN/RSPH4A",44
"GO:0010817","regulation of hormone levels","59/806","487/18842",0.121149897330595,2.83214189268372,8.65955896361632,4.89380552667479e-13,6.04058728842558e-10,6.04058728842558e-10,"SRD5A2/CYP3A7/CYP2C18/FGB/CASR/HSD17B2/TAC1/GAL/CYP3A4/SULT1E1/SULT1B1/G6PC2/CYP1A1/AKR1C1/SERPINA7/ERO1B/NEUROD1/INHA/GHRHR/ADH1A/DUOX2/CLTRN/PTPRN/HNF4A/GPRC6A/CYP2C9/DUOXA2/BMP6/PCSK1/UGT1A8/SSTR5/HTR2C/CCKAR/UGT2B7/UGT1A10/RDH5/UGT2B15/KCNK9/DIO3/CYP3A5/ADH6/ABCC8/GALR1/AKR1C3/ECRG4/PDX1/FOXD1/UGT2B4/FAM3D/CHGA/ADH4/KLK6/SLC2A2/CYP2W1/CYP26C1/CHST9/TRPM5/PCSK2/CYP21A2",59
"GO:0043588","skin development","38/806","236/18842",0.161016949152542,3.76412078899777,9.03308075581806,1.59294714958211e-12,1.47467082372564e-09,1.47467082372564e-09,"KRT6B/CSTA/FA2H/KRT9/KRT79/KLK5/CFAP100/CERS3/GAL/SPRR1B/SPRR2E/KRT16/ALOX15B/KRT81/KRT74/FLG2/PI3/IL17A/IL20/KRT72/SOX9/SPINK5/SPRR3/SLC39A2/KRT6C/S100A7/AKR1C3/FOXI3/SPRR1A/KRT14/WNT16/KRT77/EREG/KRT5/DSC1/CASP14/TP63/REG3A",38
"GO:0006805","xenobiotic metabolic process","28/806","135/18842",0.207407407407407,4.84859847440493,9.48673560248844,2.75726813052853e-12,2.04203277746943e-09,2.04203277746943e-09,"CYP3A7/CYP2C18/CYP3A4/SULT1B1/CYP1A1/AKR1C1/SLCO1A2/CYP2C19/AADAC/HNF4A/CYP2C9/CYP4F2/UGT2A3/CBR3/UGT1A8/UGT2B7/UGT1A10/CYP4F12/EPHX1/CYP2A13/UGT2B15/CYP2F1/CYP3A5/NR1I2/UGT2B4/CYP2W1/CBR1/GSTA5",28
"GO:0035082","axoneme assembly","23/806","93/18842",0.247311827956989,5.78145094586302,9.77150608267725,5.27882557244027e-12,2.82990607717386e-09,2.82990607717386e-09,"DNAI1/CFAP100/CFAP58/CFAP65/CFAP73/CFAP47/CFAP74/CFAP206/DNAAF6/RSPH1/DNAH12/DNAI2/DCX/FSIP2/CFAP46/DRC7/DNAI3/DNAH3/DNAAF1/HOATZ/CFAP43/HYDIN/RSPH4A",23
"GO:0071466","cellular response to xenobiotic stimulus","32/806","179/18842",0.17877094972067,4.17915910004575,9.03436083504573,5.34953889824927e-12,2.82990607717386e-09,2.82990607717386e-09,"CYP3A7/CYP2C18/CYP3A4/SULT1B1/CYP1A1/AKR1C1/ACER2/SLCO1A2/CYP2C19/AADAC/HNF4A/CYP2C9/AIM2/CYP4F2/UGT2A3/CBR3/UGT1A8/UGT2B7/UGT1A10/SOX10/CYP4F12/EPHX1/CYP2A13/UGT2B15/CYP2F1/CYP3A5/NR1I2/UGT2B4/CYP2W1/CBR1/GSTA5/HTR1B",32
"GO:0030216","keratinocyte differentiation","28/806","147/18842",0.19047619047619,4.45279451731065,8.88415339208828,2.3894419432931e-11,1.07605824162198e-08,1.07605824162198e-08,"KRT6B/CSTA/KRT79/KLK5/CERS3/SPRR1B/SPRR2E/KRT16/ALOX15B/KRT81/KRT74/PI3/IL17A/IL20/KRT72/SPRR3/SLC39A2/KRT6C/S100A7/AKR1C3/SPRR1A/KRT14/WNT16/KRT77/EREG/KRT5/CASP14/REG3A",28
"GO:0060294","cilium movement involved in cell motility","36/806","235/18842",0.153191489361702,3.58118367562431,8.41713018838164,2.7191489070414e-11,1.07605824162198e-08,1.07605824162198e-08,"TAC3/TMEM232/GAS2L2/SPAG8/DNAI1/CFAP161/TAC1/DNAH6/CFAP58/TEKT4/TTLL6/ROPN1L/CFAP65/TEKT1/CFAP47/LRRC46/PACRG/CFAP206/DNAAF6/IQCF1/RSPH1/RSPH14/DNAH12/CFAP53/FSIP2/CFAP52/CFAP46/DNAH10/DRC7/DNAI3/DNAH3/HOATZ/CFAP43/CFAP77/DNAH9/RSPH4A",36
"GO:0009913","epidermal cell differentiation","32/806","191/18842",0.167539267015707,3.91659413040936,8.56428285446939,3.18562397579829e-11,1.07605824162198e-08,1.07605824162198e-08,"KRT6B/CSTA/KRT79/KLK5/CERS3/SPRR1B/SPRR2E/KRT16/ALOX15B/KRT81/KRT74/PI3/IL17A/IL20/KRT72/SPINK5/SPRR3/USH1C/SLC39A2/KRT6C/S100A7/AKR1C3/FOXI3/SPRR1A/KRT14/WNT16/KRT77/EREG/STRC/KRT5/CASP14/REG3A",32
"GO:0001539","cilium or flagellum-dependent cell motility","36/806","237/18842",0.151898734177215,3.55096271633634,8.35435314744998,3.48709125019275e-11,1.07605824162198e-08,1.07605824162198e-08,"TAC3/TMEM232/GAS2L2/SPAG8/DNAI1/CFAP161/TAC1/DNAH6/CFAP58/TEKT4/TTLL6/ROPN1L/CFAP65/TEKT1/CFAP47/LRRC46/PACRG/CFAP206/DNAAF6/IQCF1/RSPH1/RSPH14/DNAH12/CFAP53/FSIP2/CFAP52/CFAP46/DNAH10/DRC7/DNAI3/DNAH3/HOATZ/CFAP43/CFAP77/DNAH9/RSPH4A",36
"GO:0060285","cilium-dependent cell motility","36/806","237/18842",0.151898734177215,3.55096271633634,8.35435314744998,3.48709125019275e-11,1.07605824162198e-08,1.07605824162198e-08,"TAC3/TMEM232/GAS2L2/SPAG8/DNAI1/CFAP161/TAC1/DNAH6/CFAP58/TEKT4/TTLL6/ROPN1L/CFAP65/TEKT1/CFAP47/LRRC46/PACRG/CFAP206/DNAAF6/IQCF1/RSPH1/RSPH14/DNAH12/CFAP53/FSIP2/CFAP52/CFAP46/DNAH10/DRC7/DNAI3/DNAH3/HOATZ/CFAP43/CFAP77/DNAH9/RSPH4A",36
"GO:0001578","microtubule bundle formation","25/806","122/18842",0.204918032786885,4.79040393768051,8.8789553094463,5.37420448432932e-11,1.53082147734396e-08,1.53082147734396e-08,"GAS2L2/DNAI1/CFAP100/CFAP58/TTLL6/CFAP65/CFAP73/CFAP47/CFAP74/CFAP206/DNAAF6/RSPH1/DNAH12/DNAI2/DCX/FSIP2/CFAP46/DRC7/DNAI3/DNAH3/DNAAF1/HOATZ/CFAP43/HYDIN/RSPH4A",25
"GO:0042445","hormone metabolic process","34/806","219/18842",0.155251141552511,3.62933251753402,8.27355447272327,6.69032123535829e-11,1.76958996675227e-08,1.76958996675227e-08,"SRD5A2/CYP3A7/CYP2C18/HSD17B2/GAL/CYP3A4/SULT1E1/SULT1B1/CYP1A1/AKR1C1/ERO1B/ADH1A/DUOX2/CYP2C9/DUOXA2/BMP6/PCSK1/UGT1A8/UGT2B7/UGT1A10/RDH5/UGT2B15/DIO3/CYP3A5/ADH6/AKR1C3/UGT2B4/ADH4/KLK6/CYP2W1/CYP26C1/CHST9/PCSK2/CYP21A2",34
