"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","49/396","371/9416",0.132075471698113,3.14046121593291,8.81342105282807,5.06803859617016e-13,1.28581237547297e-10,1.28581237547297e-10,"6866/84109/2891/2917/7425/11255/5021/1395/6863/4923/51083/55584/4889/5644/1131/2906/5179/2692/1138/680/116444/2566/2147/6755/2555/3358/886/4886/5340/797/200959/2834/796/339403/3827/4922/134864/387129/2151/2587/10886/5645/2561/5646/3375/2557/1081/3351/2568",49
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","36/396","217/9416",0.165898617511521,3.94470046082949,9.19507271854942,9.31748098168818e-13,1.28581237547297e-10,1.28581237547297e-10,"3854/3860/54474/3857/338785/1308/204219/6699/6704/149461/25984/3868/1288/3887/3881/121391/388698/125115/29943/140807/1830/1294/6707/51208/286887/6278/51702/6698/3861/374454/147409/3852/1823/23581/338324/6700",36
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","20/396","79/9416",0.253164556962025,6.0196905766526,9.38731302382199,5.02546494077945e-11,4.62342774551709e-09,4.62342774551709e-09,"1576/1543/1645/124/1559/79799/874/54576/7364/54575/2052/1553/7366/1572/1577/130/7363/127/873/221357",20
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","18/396","69/9416",0.260869565217391,6.20289855072464,9.08841747835671,2.76610320433868e-10,1.90861121099369e-08,1.90861121099369e-08,"1551/1562/1576/1543/124/1559/79799/54576/7364/54575/5959/7366/1577/130/7363/127/54905/340665",18
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","17/396","66/9416",0.257575757575758,6.12457912457912,8.75344186596267,1.08430542228278e-09,5.98536593100093e-08,5.98536593100093e-08,"6716/1551/3294/1576/6783/1543/1645/79799/54576/7364/54575/5959/7366/1577/8644/7363/1589",17
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","17/396","70/9416",0.242857142857143,5.77460317460317,8.40094033917011,2.90761753801426e-09,1.33750406748656e-07,1.33750406748656e-07,"1551/1562/1576/1543/1557/1559/79799/54576/7364/54575/2052/1553/7366/1577/7363/873/221357",17
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","11/396","41/9416",0.268292682926829,6.37940379403794,7.23260790095348,6.40466395917199e-07,2.5252675039021e-05,2.5252675039021e-05,"2891/140679/2906/116444/2566/2555/774/200959/2561/2557/2568",11
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","39/396","404/9416",0.0965346534653465,2.2953795379538,5.57611356255182,9.16219841896717e-07,3.16095845454368e-05,3.16095845454368e-05,"3854/1015/3860/54474/1501/3857/338785/1016/89780/7476/25984/3868/3887/1005/1014/3881/121391/125115/4640/29930/2566/140807/2555/1830/200959/10083/57526/1825/286887/3861/51384/374454/2561/147409/54798/3852/1823/2557/2568",39
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","14/396","73/9416",0.191780821917808,4.56012176560122,6.39790215865809,1.64784607889528e-06,5.05339464194551e-05,5.05339464194551e-05,"1576/1557/124/1559/79799/54576/7364/54575/7366/1577/130/7363/127/221357",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","22/396","199/9416",0.110552763819095,2.6286990508096,4.86549548743111,3.09530483067071e-05,0.000854304133265117,0.000854304133265117,"6866/2891/2917/140679/11255/6863/1131/2906/5179/285242/5582/116444/2566/2555/3358/200959/6530/6511/2561/2557/3351/2568",22
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","11/396","63/9416",0.174603174603175,4.15167548500882,5.25885004936518,5.420410059658e-05,0.00136003016042328,0.00136003016042328,"84647/247/246/1557/1559/8529/874/11283/4051/8644/873",11
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","7/396","26/9416",0.269230769230769,6.4017094017094,5.77882550323056,7.24657292504992e-05,0.00166671177276148,0.00166671177276148,"4760/3172/5080/3651/5313/6514/3375",7
"Organismal Systems","Digestive system","hsa04976","Bile secretion","13/396","90/9416",0.144444444444444,3.43456790123457,4.86239154157682,9.11705737222011e-05,0.00193562141133288,0.00193562141133288,"64241/1576/6579/79799/54576/7364/54575/2052/7366/6523/6550/7363/6555",13
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","13/396","103/9416",0.12621359223301,3.00107874865156,4.27850926766131,0.000362058825787478,0.00713773113695313,0.00713773113695313,"169044/1308/5644/1288/340024/1302/1360/84570/6564/1294/6550/5645/5646",13
"Cellular Processes","Cell motility","hsa04814","Motor proteins","19/396","194/9416",0.0979381443298969,2.32875143184422,3.91819943727554,0.000514207896391472,0.00946142529360309,0.00946142529360309,"4625/4648/27019/84700/7136/1768/4640/7140/83657/201625/64446/196385/126820/55567/547/7125/53904/80022/1770",19
"Organismal Systems","Sensory system","hsa04742","Taste transduction","11/396","86/9416",0.127906976744186,3.04134366925065,3.98454757292773,0.000905153815855131,0.015613903323501,0.015613903323501,"954/6338/346562/1131/6340/285242/2555/2557/29850/3351/6328",11
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","13/396","115/9416",0.11304347826087,2.68792270531401,3.81584863965795,0.00104804802418705,0.0170153679220957,0.0170153679220957,"1562/247/1644/246/1557/285242/1559/5582/3358/774/779/2561/3351",13
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","6/396","31/9416",0.193548387096774,4.60215053763441,4.20901092767327,0.00160291769197906,0.0245780712770123,0.0245780712770123,"79799/54576/7364/54575/7366/7363",6
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","7/396","46/9416",0.152173913043478,3.6183574879227,3.72986014549387,0.00285625805181735,0.039544619322773,0.039544619322773,"79799/54576/9843/7364/54575/7366/7363",7
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","11/396","99/9416",0.111111111111111,2.64197530864198,3.44112665769751,0.00286555212483862,0.039544619322773,0.039544619322773,"3860/54474/3857/25984/3868/3881/125115/1673/5340/1670/3861",11
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","10/396","86/9416",0.116279069767442,2.76485788113695,3.44486834469575,0.00314894320728659,0.041386110724338,0.041386110724338,"1131/5582/157855/886/779/6833/84699/3651/6514/27345",10
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","8/396","61/9416",0.131147540983607,3.1183970856102,3.47780220291015,0.0038053219919282,0.0470633566586114,0.0470633566586114,"55503/115019/4489/340024/9843/6523/6550/795",8
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","10/396","89/9416",0.112359550561798,2.67166042446941,3.31991192436236,0.00404591936375897,0.0470633566586114,0.0470633566586114,"140679/5582/2566/2555/774/200959/779/2561/2557/2568",10
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","6/396","37/9416",0.162162162162162,3.85585585585586,3.64681190517494,0.00409246579640099,0.0470633566586114,0.0470633566586114,"79799/54576/7364/54575/7366/7363",6
