"CellType","p_value","adj_p"
"B.cells",5.8642408028442e-05,0.000645066488312862
"Macrophages.M1",0.788079451239016,0.848870753983632
"Macrophages.M2",0.05525344001091,0.121557568024002
"Monocytes",0.206428891245148,0.324388257670947
"Neutrophils",0.756527046019051,0.848870753983632
"NK.cells",0.000764044617735715,0.00420224539754643
"T.cells.CD4",0.201894246699069,0.324388257670947
"T.cells.CD8",0.848870753983632,0.848870753983632
"Tregs",0.0401849352688859,0.110508571989436
"Dendritic.cells",0.00215901984796329,0.00791640610919875
"Other",0.491958732309229,0.67644325692519
