"CellType","Correlation","p_value","adj_p"
"B.cells",0.233563764538237,7.2695037146367e-07,7.2695037146367e-06
"Macrophages.M1",-0.0184565733806602,0.699437462876231,0.699437462876231
"Macrophages.M2",-0.09480850509379,0.0468623933633244,0.0937247867266487
"Monocytes",-0.0761728135829193,0.110580782530316,0.15797254647188
"Neutrophils",0.0537589933579026,0.260477078170776,0.289418975745307
"NK.cells",0.190870010645409,5.59102871182035e-05,0.000279551435591018
"T.cells.CD4",-0.0717239222865749,0.133058602272885,0.166323252841107
"T.cells.CD8",-0.0791074165324877,0.0974691693557482,0.15797254647188
"Tregs",0.11575974188219,0.0151212501459954,0.0378031253649886
"Dendritic.cells",0.134594798659529,0.00468204456648957,0.0156068152216319
