"Gene","Beta","HR","Pvalue","FDR"
"PITX3",0.949584313521321,2.5846350381409,3.91563680366325e-11,2.20747940443319e-06
"TLE1",0.755579480445319,2.12884478992074,2.97326231007252e-10,8.38103179963242e-06
"AC112236.1",0.684425231046402,1.98263195269109,4.57675234708826e-08,0.000727055834648621
"DKK1",0.159868106615301,1.17335610287772,5.33195148716682e-08,0.000727055834648621
"AC034223.1",0.665245424016644,1.94496780457689,6.4482743955639e-08,0.000727055834648621
"GNPNAT1",0.487671050120999,1.62851906070553,1.14918507661246e-07,0.000969686960258177
"RN7SL400P",10.0466539449617,23078.4357907674,1.2040245355838e-07,0.000969686960258177
"AC108136.1",0.723275287128413,2.06117310080746,1.834795343713e-07,0.0010899137912358
"AC103833.2",0.73057456584679,2.07627322070518,1.88486974422565e-07,0.0010899137912358
"VAX1",0.341726507034493,1.40737533761992,1.93329393932844e-07,0.0010899137912358
"AHSG",0.456674048694387,1.57881418382582,2.95983290820984e-07,0.00148705852918537
"ESYT3",-0.289696667218146,0.748490574875716,3.21466619947702e-07,0.00148705852918537
"ERO1A",0.413481924217641,1.51207355523706,3.94932635749337e-07,0.00148705852918537
"ADAM20P3",0.909394063876509,2.48281764859751,3.97521361235743e-07,0.00148705852918537
"GAPDH",0.478024862968889,1.61288558400921,4.17435075429299e-07,0.00148705852918537
"ZC3H12D",-0.425650239524135,0.65334481635659,4.22040167215941e-07,0.00148705852918537
"IGF2BP1",0.142075255628563,1.152663389681,5.2319919342431e-07,0.00173505163108758
"LINC01312",0.580573033797444,1.78706218442914,6.17726014284549e-07,0.00178989412480834
"CRNDE",-0.269861940930806,0.763484893074742,6.33200826734381e-07,0.00178989412480834
"LINC02178",0.352096473487032,1.42204570680926,6.34984434797905e-07,0.00178989412480834
"VDAC1",0.653640726796219,1.92252750040291,7.19171760216195e-07,0.001881302637576
"SHC1",0.541434213880526,1.71846974877658,7.36375889700263e-07,0.001881302637576
"ZNF540",-0.494128179464756,0.610102575456912,7.96918936966655e-07,0.001881302637576
"CMAHP",-0.337035893105548,0.713883215957242,8.00895120296298e-07,0.001881302637576
"FAM117A",-0.591129125760811,0.553701732747286,8.58628230415805e-07,0.00193624100471686
"NLRP1",-0.370242981260618,0.690566515527733,9.05709180087043e-07,0.00196385618217643
"FKBP4",0.433786834732897,1.54308989988476,9.79051319524576e-07,0.00204425915516731
"PKP2",0.215864904208092,1.24093472261703,1.07924789207344e-06,0.00208544593332633
"PLK1",0.328596809080968,1.38901770334669,1.10340416187609e-06,0.00208544593332633
"ANLN",0.283108737986838,1.32724947640687,1.10975198665726e-06,0.00208544593332633
"CREG2",0.227151657870364,1.25502018719706,1.19265469632861e-06,0.00211357096334738
"SETDB2",-0.775628568720467,0.460414288005481,1.19969970957706e-06,0.00211357096334738
"LINC02802",0.453503449978306,1.57381632489104,1.33577544871997e-06,0.00228199020294051
"IRX5",-0.215521169840546,0.806121204620117,1.45013518512941e-06,0.00240449474108399
"AC034223.2",0.463021411385838,1.58886736190401,1.6434551828641e-06,0.00264718369683276
"C1QTNF6",0.362653785025532,1.43713821432994,1.85466819166637e-06,0.00280732516476129
"AL353746.1",0.385413578846361,1.47022224854103,1.86001665929308e-06,0.00280732516476129
"HMGA1",0.330997576121233,1.39235641740095,1.95015154949244e-06,0.00280732516476129
"RNU1-70P",4.25750651120388,70.6336395010836,1.97107690154162e-06,0.00280732516476129
"ABCC2",0.140593549968275,1.15095674649577,1.99982930530252e-06,0.00280732516476129
"IKZF3",-0.356229099138495,0.700312160942662,2.04165481331085e-06,0.00280732516476129
"AC114322.1",3.87998551878621,48.4235138350113,2.10019382383836e-06,0.00281187773791182
"AL691432.2",-0.530059065183548,0.588570204644495,2.16532267737025e-06,0.00281187773791182
"NTSR1",0.211068236617023,1.23499662417791,2.19459735469207e-06,0.00281187773791182
"GSEC",0.361193761886602,1.43504149028845,2.37725796814511e-06,0.0029782287824922
"LINC02310",0.758246393333506,2.13452981088624,2.45728465448119e-06,0.00301156260176156
"FAM83A",0.217013453852332,1.2423608165643,2.63334753785048e-06,0.00315867235731614
"F2",0.210240594345111,1.23397491163064,2.73594035512494e-06,0.00321336194709425
"SLC47A1",-0.274450986609825,0.759989252985857,3.00823051266447e-06,0.00342689649935202
"CIDEC",0.237906203906504,1.26859019843953,3.03932214005252e-06,0.00342689649935202
"DRAXINP1",0.648771416148388,1.91318887156858,3.13255549156076e-06,0.00346276369396529
"RHOV",0.19086197225262,1.21029238661993,3.28171976868988e-06,0.00355788910922424
"AC100805.1",0.824661888929694,2.281109366598,3.40272243647984e-06,0.00357283024812412
"LINC02323",0.319454016655402,1.37637608073528,3.42225119552118e-06,0.00357283024812412
"GNG7",-0.324337602245281,0.7230061126858,3.52692443213678e-06,0.00361516166883897
"COLCA1",-0.211717337900913,0.809193393546321,3.65261609765391e-06,0.00364699661955946
"ABAT",-0.322353570660561,0.724442003604764,3.68736354680874e-06,0.00364699661955946
