"Gene","Coefficient"
"PGAM1P1",1.41434379692142
"AC114322.1",1.37225759631842
"AC023194.1",-1.21928284045716
"AC073308.1",-0.896217672688017
"TRAV15",-0.856088777288673
"AC010469.2",-0.720786589087602
"RHOQP2",-0.570935819371546
"TRAV34",-0.542686234773762
"PABPC1P13",0.527779753064618
"AC069304.2",-0.490121583894086
"RFESDP1",0.424482029207203
"AL121901.1",0.404564200896452
"MIR541",0.402430257391254
"AL135908.1",0.380571244641874
"CDY10P",0.377560701155261
"DPRXP6",-0.367509064368856
"TMEM18-DT",-0.32164829720843
"AL356309.3",-0.319315570500649
"SORCS3-AS1",0.316124001167673
"AL359551.1",0.313020743555631
"AL627443.1",0.308093639027764
"AC079140.1",-0.285272364483573
"RNA5SP283",0.270740532625504
"RNU6-646P",-0.236003334148377
"ANAPC4",-0.228705042528085
"AL365259.1",-0.227876870946342
"PITX3",0.225642929814964
"AL031674.1",0.221714708729284
"GOLGA6D",0.218731368460172
"MRPS18BP2",0.218283839900511
"TLE1",0.214766945009332
"RNA5SP226",0.205327535381705
"MIR2909",-0.202802604656456
"HAND2-AS1",0.182634319542129
"AL512430.1",-0.180685667140581
"AP000346.1",-0.171941412467242
"AL121578.1",0.156467461622447
"AL035458.2",0.151681081895594
"AC007222.1",0.146368784330531
"RNU1-70P",0.14301939761222
"AP005202.2",0.14095618103927
"MTCO2P30",-0.127974757247331
"SNTG2",-0.126099333326799
"AL353746.1",0.12556915281344
"AL133399.1",0.124838353595662
"AL590677.1",-0.120208388839073
"AC068228.1",0.110850723845957
"PGAM4",0.104459593196854
"AC105272.1",0.100983254172149
"ZNF970P",0.0997239225098496
"AC100805.1",0.0959558216029668
"TRIM6",0.0931150097688453
"GDPD2",0.0907772706574775
"RPS6KL1",-0.0836294156328827
"LSP1P2",-0.0835769588610981
"AC023158.2",0.0834526432602983
"AC108136.1",0.081856290956708
"AC090771.2",0.0817027573714344
"WNT3A",-0.078907384641082
"ADAM20P3",0.0740481082740183
"USP4",-0.0735717309884003
"EAF2",-0.069427049100964
"RNU6-1095P",-0.0675285793174347
"KIRREL3",0.0669966482011913
"AL132775.1",-0.0568448471637175
"OR13A1",-0.0560758482758284
"RNU6-471P",-0.0539895988973849
"AC012360.2",-0.0528740555842457
"SLC25A47P1",-0.0490238336407896
"AC139453.1",-0.0480943755956806
"AL133481.1",-0.044970380451989
"LDLRAD3",0.0418331630574324
"AL031726.1",-0.0386573249931749
"AL356583.2",-0.0385255754981139
"CLCA1",-0.0379492151311752
"ZFP91P1",-0.037448539706788
"AC130888.1",-0.0369326685473523
"AL513314.2",0.0361735054882173
"AK4P4",-0.0352723378513398
"KLHL35",-0.0333222114995895
"LMO7DN",-0.030760224527779
"AL035250.1",0.0296710052040161
"KRT18P29",0.0295508166471025
"AC012676.3",-0.0294478575394737
"CYP17A1",-0.0267203789439466
"AC021660.4",-0.0257128336498783
"LINC01066",0.0241755157742997
"AC091133.4",0.0229795081482547
"AC007614.1",-0.0220088869388854
"U91328.1",-0.0186687982011179
"AC068338.3",-0.0166732947125932
"AL138899.2",-0.0162773663970251
"AC023141.5",0.0160145913567196
"MPV17L",-0.0145116763182002
"AC005586.1",0.0135806433920895
"NXPH1",0.012388953613814
"AC109642.1",-0.0121017538762834
"AC109462.2",-0.0116076703960244
"AP000812.1",-0.0114168450837687
"SAMD13",0.0109523974112929
"MTND4LP2",0.0107895741500973
"LINC00370",0.00790537255627925
"CLEC17A",-0.00661710568316603
"RAP1BP2",0.00639110654029155
"AP001184.1",0.00600504068048122
"AL445644.1",0.0056313559927412
"LINC01151",0.00547592579275332
"AL031289.1",-0.00456552110057357
"LINC00336",-0.00249156756377648
"CEACAMP11",0.00145541176879993
"TRIM60P3Y",0.000917516976252483
"LINC02655",0.000293614602962997
"ENOX1",0.000133638874236793
"AC006455.7",2.91323596304315e-05
"AC119751.8",2.39049836940441e-05
"RNU6-1335P",-5.39627116345647e-06
"MIR518C",-3.21036389082856e-14
"AL731661.1",-4.47603672864711e-15
"AP002770.1",-3.00576577493724e-15
"PRAMEF29P",-2.31264826862375e-15
"AC006455.1",5.32239306685833e-17
"AC037459.3",2.42030014861396e-17
"AL358944.2",1.82419588617001e-17
"MIR6886",1.36319013054252e-17
