"Gene","Coefficient"
"PGAM1P1",1.41434379692142
"AC114322.1",1.37225759631842
"AC023194.1",-1.21928284045716
"AC073308.1",-0.896217672688017
"TRAV15",-0.856088777288673
"AC010469.2",-0.720786589087602
"RHOQP2",-0.570935819371546
"TRAV34",-0.542686234773762
"PABPC1P13",0.527779753064618
"AC069304.2",-0.490121583894086
"RFESDP1",0.424482029207203
"AL121901.1",0.404564200896452
"MIR541",0.402430257391254
"AL135908.1",0.380571244641874
"CDY10P",0.377560701155261
"DPRXP6",-0.367509064368856
"TMEM18-DT",-0.32164829720843
"AL356309.3",-0.319315570500649
"SORCS3-AS1",0.316124001167673
"AL359551.1",0.313020743555631
