"Variable","Importance"
"LINC00370",0.0924675326330567
"AL445644.1",0.0818063018352804
"AL133399.1",0.0654608317162928
"AC007222.1",0.0567858519469217
"AC105272.1",0.0566848649029607
"CDY10P",0.054087277066469
"MIR541",0.049320019532806
"PGAM1P1",0.0478329601223854
"SORCS3-AS1",0.0454075315106005
"AP001184.1",0.0453800329761489
"AC006455.7",0.0449071682105669
"AC023141.5",0.0443088031213619
"ADAM20P3",0.0433887362627446
"ZNF970P",0.0423827783935779
"AL121901.1",0.0423353478176502
"AL358944.2",0.0417923286176926
"MRPS18BP2",0.0402723927111609
"RNU1-70P",0.0401718955587682
"AC114322.1",0.0400241336201288
"RFESDP1",0.0392528289719629
